GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
-7.69,-26.733,-27.161,-0.729,-0.021,0.548,1746797472.214009,hammering,1
21.118,38.269,13.367,-0.97,0.098,0.587,1746797472.32088,hammering,1
3.845,7.69,6.226,-0.85,-0.016,0.407,1746797472.416245,hammering,1
7.019,0.732,12.756,-1.43,0.399,0.835,1746797472.511948,hammering,1
7.446,-4.211,-0.122,-0.811,-0.093,0.413,1746797472.624678,hammering,1
-0.916,-34.363,-8.423,-0.906,-0.059,0.542,1746797472.74136,hammering,1
12.146,-2.502,13.611,-0.81,-0.082,0.332,1746797472.844535,hammering,1
-3.784,-37.842,-31.067,-0.69,-0.001,0.542,1746797472.958418,hammering,1
13.489,-12.39,21.484,-0.762,-0.104,0.27,1746797473.059034,hammering,1
10.803,-13.794,13.733,-0.828,0.065,0.458,1746797473.163618,hammering,1
-34.668,-8.301,-70.557,-0.908,-0.168,0.218,1746797473.25012,hammering,1
16.602,-0.732,22.583,-0.945,-0.122,0.444,1746797473.397161,hammering,1
-2.808,-33.997,-3.845,-0.666,0.048,0.252,1746797473.534594,hammering,1
-14.771,-0.122,19.714,-2.988,-1.014,0.328,1746797473.639557,hammering,1
15.076,-4.7,32.349,-0.964,-0.117,0.4,1746797473.736859,hammering,1
4.395,-29.907,-1.77,-0.67,0.074,0.327,1746797473.964729,hammering,1
8.057,-11.719,1.831,-2.043,-0.507,0.603,1746797474.006715,hammering,1
15.686,-25.696,38.635,-0.971,-0.04,0.373,1746797474.152211,hammering,1
-5.737,-38.269,-11.292,-0.578,0.044,0.389,1746797474.152211,hammering,1
-9.46,-78.674,46.753,-2.034,0.283,1.055,1746797474.266725,hammering,1
17.212,-18.127,33.63,-1.016,-0.034,0.307,1746797474.363437,hammering,1
-9.827,-11.78,-27.039,-0.686,0.017,0.482,1746797474.46546,hammering,1
8.972,-18.005,5.432,-2.043,-0.134,0.962,1746797474.562231,hammering,1
13.0,-65.796,28.625,-0.691,-0.047,0.529,1746797474.7754,hammering,1
-2.625,-31.372,-26.123,-0.695,-0.004,0.575,1746797474.7754,hammering,1
-0.366,-18.555,2.38,-1.764,-0.199,0.764,1746797474.887227,hammering,1
10.254,-0.122,13.123,-0.896,0.049,0.483,1746797474.983202,hammering,1
-13.672,-34.546,-44.678,-0.916,-0.058,0.665,1746797475.094786,hammering,1
18.188,-8.057,11.108,-0.732,-0.021,0.401,1746797475.189703,hammering,1
15.442,15.93,23.01,-0.841,0.045,0.406,1746797475.293011,hammering,1
-16.846,-7.263,-46.387,-0.548,-0.016,0.378,1746797475.480442,hammering,1
22.217,34.607,19.104,-0.858,-0.095,0.367,1746797475.725896,hammering,1
-0.916,11.841,-0.427,-0.672,0.093,0.384,1746797475.725896,hammering,1
-29.541,-10.681,13.733,-1.254,-0.032,0.908,1746797475.795119,hammering,1
